iteration,reward_mean,reward_dev,loss
100,-5.0,5.0,"[-20.787186, 20.76529, 2.189669]"
200,-5.0,6.708203932499369,"[-71.4155, 71.33898, 7.6514]"
300,-7.0,4.58257569495584,"[-29.413813, 29.381674, 3.213924]"
400,-10.0,0.0,"[-19.880518, 19.850292, 3.022536]"
500,-7.0,6.4031242374328485,"[-59.60417, 59.54991, 5.425883]"
600,3.0,4.58257569495584,"[-1.9921236, 1.9235268, 6.859688]"
700,-1.0,3.0,"[-86.252884, 86.190384, 6.250328]"
800,-4.0,8.0,"[-23.989706, 23.967937, 2.1768441]"
900,-3.0,11.874342087037917,"[-63.6607, 63.595615, 6.508703]"
1000,-2.0,4.0,"[-61.29951, 61.264297, 3.5212417]"
1100,-1.0,5.385164807134504,"[-72.49418, 72.46909, 2.5083015]"
1200,0.0,0.0,"[0.031184569, -0.06265286, 3.1468296]"
1300,0.0,0.0,"[-0.024018904, 0.0, 2.4018905]"
1400,2.0,4.0,"[-0.013032681, 0.0, 1.3032682]"
1500,1.0,3.0,"[-0.022202758, 0.0, 2.2202759]"
1600,0.0,0.0,"[-0.041258954, 0.0, 4.1258955]"
1700,4.0,4.898979485566356,"[-0.017229564, 0.0, 1.7229565]"
1800,1.0,3.0,"[-100.14827, 100.13245, 1.5820408]"
1900,0.0,0.0,"[-0.00271976, 0.0, 0.271976]"
2000,5.0,9.219544457292887,"[-0.014452894, 0.0, 1.4452895]"
2100,3.0,4.58257569495584,"[-0.032617625, 0.0, 3.2617626]"
2200,0.0,0.0,"[-0.0183564, 0.0, 1.83564]"
2300,2.0,4.0,"[-0.044767383, 0.0, 4.4767385]"
2400,1.0,3.0,"[-0.010000592, -0.029705757, 3.9706352]"
2500,6.0,9.16515138991168,"[-0.0060858196, 0.0, 0.60858196]"
2600,0.0,0.0,"[-0.009731801, 0.0, 0.9731802]"
2700,0.0,0.0,"[-0.02059573, 0.0, 2.059573]"
2800,2.0,4.0,"[35.180553, -35.218166, 3.761456]"
2900,2.0,4.0,"[-0.0011318104, 0.0, 0.11318104]"
3000,0.0,0.0,"[-0.015512408, 0.0, 1.5512408]"
3100,4.0,9.16515138991168,"[-0.022925401, 0.0, 2.29254]"
3200,6.0,12.0,"[247.89238, -247.91039, 1.8011564]"
3300,0.0,0.0,"[-0.010898199, 0.0, 1.0898199]"
3400,6.0,4.898979485566356,"[-99.07915, 99.03143, 4.7716217]"
3500,3.0,4.58257569495584,"[-0.098241076, 0.0, 9.824108]"
3600,6.0,10.198039027185569,"[-0.03433615, 0.0, 3.4336152]"
3700,6.0,9.16515138991168,"[-0.004751301, 0.0, 0.4751301]"
3800,3.0,9.0,"[20.254503, -20.270443, 1.5940638]"
3900,4.0,4.898979485566356,"[51.226303, -51.29853, 7.222601]"
4000,2.0,4.0,"[-0.00032039985, 0.0, 0.032039985]"
4100,1.0,8.306623862918075,"[-0.15666147, 0.0, 15.666147]"
4200,1.0,3.0,"[-0.00037120352, 0.0, 0.037120353]"
4300,4.0,4.898979485566356,"[-0.00274302, 0.0, 0.274302]"
4400,3.0,6.4031242374328485,"[0.16689488, -0.21938029, 5.2485414]"
4500,3.0,4.58257569495584,"[2.492986, -2.5080433, 1.5057219]"
4600,7.0,12.68857754044952,"[-0.07414494, 0.0, 7.414494]"
4700,5.0,5.0,"[-0.113105066, 0.0, 11.310507]"
4800,9.0,11.357816691600547,"[13.725518, -13.751012, 2.5493379]"
4900,15.0,12.84523257866513,"[-0.12183218, 0.0, 12.183218]"
5000,1.0,3.0,"[-0.034453724, 0.0, 3.4453723]"
5100,3.0,4.58257569495584,"[0.3399396, -0.34179783, 0.18582231]"
5200,12.0,13.2664991614216,"[-269.1685, 269.15753, 1.0962692]"
5300,3.0,4.58257569495584,"[-0.08603709, 0.0, 8.603709]"
5400,2.0,4.0,"[-118.39058, 118.322014, 6.85628]"
5500,7.0,9.0,"[31.463003, -31.486828, 2.3824985]"
5600,7.0,10.04987562112089,"[9.783558, -9.801265, 1.7706692]"
5700,10.0,10.954451150103322,"[98.32118, -98.4808, 15.961369]"
5800,10.0,10.954451150103322,"[24.450071, -24.46864, 1.8568194]"
5900,3.0,7.810249675906654,"[0.2339811, -0.32152322, 8.754212]"
6000,12.0,13.2664991614216,"[-42.65582, 42.64037, 1.5450642]"
6100,5.0,5.0,"[193.82712, -193.92535, 9.824012]"
6200,-5.0,5.0,"[-67.44902, 67.3628, 8.621647]"
6300,13.0,9.0,"[-0.040067457, 0.0, 4.006746]"
6400,3.0,4.58257569495584,"[9.678064, -9.702341, 2.4276981]"
6500,3.0,4.58257569495584,"[-5.499033e-05, 0.0, 0.0054990333]"
6600,6.0,6.6332495807108,"[-0.120348476, 0.0, 12.034848]"
6700,5.0,12.84523257866513,"[-34.177586, 34.16532, 1.2264493]"
6800,10.0,10.954451150103322,"[-0.0007870211, 0.0, 0.078702115]"
6900,0.0,0.0,"[-0.08969526, 0.0, 8.969526]"
7000,2.0,4.0,"[15.341616, -15.375687, 3.4071288]"
7100,4.0,4.898979485566356,"[-0.07387941, 0.0, 7.387942]"
7200,12.0,12.489995996796797,"[1.74349, -1.7489493, 0.54592824]"
7300,10.0,13.416407864998739,"[19.298311, -19.370287, 7.197647]"
7400,11.0,11.357816691600547,"[-0.22665429, 0.0, 22.66543]"
7500,7.0,9.0,"[15.000494, -15.016796, 1.6302098]"
7600,14.0,11.135528725660043,"[-0.026298856, 0.0, 2.6298857]"
7700,10.0,7.745966692414834,"[39.586052, -39.6444, 5.8349876]"
7800,12.0,7.483314773547883,"[48.908077, -48.94928, 4.1200695]"
