iteration,reward_mean,length_mean,games,loss
500,0.75,3.25,12,0.013605741783976555
1000,0.38,2.38,8,0.0030328333377838135
1500,0.62,2.75,8,0.009001778438687325
2000,1.18,3.55,11,0.0027588694356381893
2500,0.25,2.38,8,0.003969481214880943
3000,0.12,2.12,8,0.004928363487124443
3500,1.75,4.0,8,0.0021902108564972878
4000,2.5,5.0,12,0.0016385831404477358
4500,5.12,8.12,8,0.001296207308769226
5000,5.0,8.0,8,0.004403106868267059
5500,4.25,7.25,8,0.013807184062898159
6000,5.62,8.62,8,0.0034822658635675907
6500,4.12,7.12,8,0.010219920426607132
7000,6.0,9.0,8,0.006055520847439766
7500,5.38,8.38,8,0.006108460482209921
8000,6.38,9.38,8,0.004402365069836378
8500,3.38,6.38,8,0.008204296231269836
9000,4.62,7.62,8,0.018947307020425797
9500,2.25,5.25,8,0.020382512360811234
10000,2.62,5.62,8,0.006306326482445002
10500,5.38,8.38,8,0.01975550875067711
11000,4.12,7.12,8,0.01444661058485508
11500,6.5,9.5,8,0.00605415366590023
12000,4.38,7.38,8,0.02067844569683075
12500,4.62,7.62,8,0.0065138693898916245
13000,3.75,6.75,8,0.04437508434057236
13500,5.38,8.38,8,0.01181616261601448
14000,5.38,8.38,8,0.012610284611582756
14500,5.75,8.75,8,0.00762222521007061
15000,3.88,6.88,8,0.005938059650361538
15500,4.62,7.62,8,0.011590491980314255
16000,5.62,8.62,8,0.020410973578691483
16500,5.62,8.62,8,0.0046096425503492355
17000,4.38,7.38,8,0.036513812839984894
17500,4.75,7.75,8,0.004696092568337917
18000,3.88,6.88,8,0.005265484564006329
18500,6.38,9.38,8,0.025691324844956398
19000,5.12,8.12,8,0.017456240952014923
19500,2.25,5.25,8,0.023608285933732986
20000,7.5,10.5,8,0.009804459288716316
20500,5.62,8.62,8,0.027835199609398842
21000,3.62,6.62,8,0.017816849052906036
21500,5.75,8.75,8,0.01739414408802986
22000,5.25,8.25,8,0.013698503375053406
22500,5.5,8.5,8,0.02356383018195629
23000,3.88,6.88,8,0.01787460595369339
23500,5.5,8.5,8,0.005418762564659119
24000,4.75,7.75,8,0.004978823475539684
24500,5.0,8.0,8,0.008569527417421341
25000,7.25,10.25,8,0.014097310602664948
25500,5.62,8.62,8,0.01883523166179657
26000,5.5,8.5,8,0.033461593091487885
26500,7.0,10.0,8,0.017168158665299416
27000,4.75,7.75,8,0.005472875665873289
27500,3.0,6.0,8,0.029337897896766663
28000,4.62,7.62,8,0.020354216918349266
28500,6.5,9.5,8,0.008658021688461304
29000,6.38,9.38,8,0.003371715545654297
29500,7.75,10.75,8,0.0055840760469436646
30000,4.62,7.62,8,0.016150981187820435
30500,5.38,8.38,8,0.009427648968994617
31000,5.25,8.25,8,0.04505851864814758
31500,4.62,7.62,8,0.017281387001276016
32000,7.0,10.0,8,0.02644161880016327
32500,7.75,10.75,8,0.021902048960328102
33000,5.62,8.62,8,0.006219929549843073
33500,5.5,8.5,8,0.01044786162674427
34000,5.62,8.62,8,0.00562611548230052
34500,5.5,8.5,8,0.027008362114429474
35000,6.33,9.33,9,0.030264709144830704
35500,6.12,9.12,8,0.013464473187923431
36000,11.75,14.75,8,0.005711131263524294
36500,9.62,12.62,8,0.012034878134727478
37000,7.5,10.5,8,0.024794401600956917
37500,9.88,12.88,8,0.026379121467471123
38000,3.38,6.38,8,0.013093311339616776
38500,11.5,14.5,8,0.02626635506749153
39000,6.12,9.12,8,0.02271948754787445
39500,8.62,11.62,8,0.0035203243605792522
40000,4.25,7.25,8,0.008409935981035233
40500,7.25,10.25,8,0.015421029180288315
41000,4.38,7.38,8,0.004788245540112257
41500,6.75,9.75,8,0.032701849937438965
42000,7.88,10.88,8,0.016842219978570938
42500,9.88,12.88,8,0.025816474109888077
43000,9.12,12.12,8,0.0045183440670371056
43500,10.0,13.0,8,0.013098381459712982
44000,8.38,11.38,8,0.005696305073797703
44500,4.38,7.38,8,0.025222016498446465
45000,3.25,6.25,8,0.0066498867236077785
45500,11.62,14.62,8,0.005577923730015755
46000,3.38,6.38,8,0.02843618392944336
46500,10.12,13.12,8,0.030312776565551758
47000,7.12,10.12,8,0.015388918109238148
47500,9.62,12.62,8,0.009153826162219048
48000,5.88,8.88,8,0.019633028656244278
48500,3.75,6.75,8,0.026084434241056442
49000,7.38,10.38,8,0.02653815597295761
49500,7.12,10.12,8,0.011332087218761444
50000,2.75,5.75,8,0.019194485619664192
